ID,SPEAKER,CONVERSATION,,ENGLISH,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL),CHINESE (SIMPLIFIED)
395,Dr. Heinrich,Log Console 3,,He must have been exposed to something quite carcinogenic.,Il a dû être exposé à un produit hautement cancérigène.,Er muss irgendetwas stark Krebserregendem ausgesetzt gewesen sein.,Debió de estar expuesto a algo muy carcinógeno.,Ele deve ter sido exposto a algo bastante carcinogênico.,Подозреваю стремительное развитие опухоли.,きっと高発がん性の何かを浴びたのだ。,분명 발암성 있는 무언가에 노출되어 있었음이 틀림없다.,他一定是在某种致癌物中暴露过。,他一定是暴露在某種致癌物裡面過。,他一定是暴露在某种致癌物里面过。
396,Dr. Heinrich,Log Console 3,,I wonder what those jerks in Security DID to him...,Je me demande ce que ces crétins de la sécurité lui ont fait subir...,Was diese Idioten vom Sicherheitspersonal wohl mit ihm angestellt haben?,¿Qué le harían esos patanes de seguridad...?,O que será que aqueles vilões da Segurança fizeram com ele?,"Ума не приложу, что с бедным песелем делали...",セキュリティ部のバカどもめ、 一体バウディに何をした...,저 멍청한 보안 요원들이 멍뭉이에게 무슨 짓을 한 건지...,真想知道那帮混蛋保安对他做了什么……,真想知道警衛那幫混帳對他做了什麼...,真想知道安保那帮混球对他做了什么...
397,Dr. Heinrich,Log Console 3,,I don't want him to die.,Je n'ai pas envie de le voir mourir.,"Ich will nicht, dass er stirbt.",No quiero que muera.,Não quero que ele morra.,"Не хочу, чтобы он умер.",バウディを死なせたくない。,멍뭉이가 죽지 않았으면 좋겠다.,我不想他死。,我不想讓他死掉。,我不想让他死掉。
398,Dr. Heinrich,Log Console 3,,He is my only friend.,C'est mon seul ami.,Er ist mein einziger Freund.,Es mi único amigo.,É o único amigo que eu tenho.,Он ведь мой единственный друг.,たったひとりの友だちなのだ。,내 유일한 친구니까 말이다.,他是我唯一的朋友。,他是我唯一的朋友。,他是我唯一的朋友。
399,Dr. Heinrich,Log Console 3,,But I am running out of ideas and medicine...,"Mais je ne sais plus quoi faire, ni quoi lui administrer...",Doch mir gehen die Ideen und die Medizin aus ...,Pero se me acaban las ideas y las medicinas...,Mas estou ficando sem ideias e sem remédios...,"Увы, у меня кончаются идеи, кончаются лекарства...",だがもはや策は尽き、薬もなく...,하지만 이젠 아이디어도 약도 다 떨어졌다...,但我的方法和药都快试完了……,但我有的方法和藥劑都不多了...,但我的点子和药剂都不多了...
400,Dr. Heinrich,Log Console 3,,And security is becoming suspicious.,Et la sécurité commence à trouver ça louche.,Und das Sicherheitspersonal schöpft Verdacht.,Y los de seguridad empiezan a sospechar.,E a Segurança está ficando desconfiada.,Охрана шушукается у меня за спиной.,セキュリティ部にも怪しまれている。,보안 요원들도 슬슬 수상쩍어 하는 눈치다.,保安那些人也开始起了疑心。,警衛那些人也開始懷疑了。,安保那些人也开始起疑了。
401,Dr. Heinrich,Log Console 3,,"I have an idea, but it is likely to fail.","J'ai bien une idée, mais il y a peu de chances que ça fonctionne.","Ich habe eine Idee, doch sie wird vermutlich fehlgeschlagen.","Tengo una idea, pero es probable que falle.","Tive uma ideia, mas é possível que não funcione.","Есть одна мысль, но, скорее всего, ничего не выйдет.",ひとつ手はあるが、いちかばちかだ。,"아이디어가 하나 있긴 한데, 실패할 것 같다.",我是有个主意，但很可能会失败。,我倒是有個主意，但成功概率不大。,我倒是有个主意，但成功概率不大。
402,Dr. Heinrich,Log Console 3,,"If you recall, in prior experiments...",Lors d'une de mes expériences...,"Falls du dich erinnerst, in früheren Experimenten ...","Si te acuerdas, en anteriores experimentos...","Você deve se lembrar, em experimentos anteriores...","В предыдущих экспериментах, дорогой слушатель,",わたしは以前の実験で...,"분명, 이전 실험에서...",如果你还记得，在前期实验中……,如果你還記得，在前期實驗中...,如果你还记得，在前期实验中...
403,Dr. Heinrich,Log Console 3,,I bound the consciousness of a rat to the body of a frog.,J'ai transféré la conscience d'un rat dans le corps d'une grenouille.,habe ich das Bewusstsein einer Ratte mit dem Körper eines Frosches gekoppelt.,traspasé la consciencia de una rata al cuerpo de una rana.,eu transferi a consciência de um rato para o corpo de um sapo.,Я успешно перенес сознание крысы в тело лягушки.,ネズミの意識をカエルの体へ 封じ込めた。,쥐의 의식을 개구리 몸에 묶은 적이 있다.,我曾把一只老鼠的意识弄到了青蛙的身上。,我曾經把一隻老鼠的意識與一個青蛙的身體結合在了一起。,我曾经把一只老鼠的意识与一个青蛙的身体捆绑在了一起。
404,Dr. Heinrich,Log Console 3,,My assistant Dr. Rebecca Brown expressed some...,"Mon assistante, le Dr Rebecca Brown, a exprimé",Meine Assistentin Dr. Rebecca Brown hat ihre ...,"Mi ayudante, la Dra. Rebecca Brown, expresó cierta...","Minha assistente, a Dra. Rebecca Brown, expressou uma certa...","Моя помощница, доктор Ребекка Браун, нашла этот эксперимент весьма...",助手のレベッカ・ブラウン博士は...,내 조수 레베카 브라운 박사는...,我的助理瑞贝卡·布朗博士对该项目……,我的助理瑞貝卡·布朗博士向我表示了...,我的助理瑞贝卡·布朗博士向我表示了...
405,Dr. Heinrich,Log Console 3,,"disgust for this project, which I suspect is due to","son aversion pour ce projet, très certainement en raison","Abscheu gegenüber diesem Projekt geäußert, was vermutlich","aversión hacia este proyecto, que sospecho se debía","aversão pelo projeto, provavelmente porque","отвратительным, что, я полагаю, не в последнюю очередь связано с",このプロジェクトに嫌悪感を示したが...,이 프로젝트에 혐오감을 보였다. 아마도,表露出了厌恶之情，但我想这是因为她……,對這個專案一定程度的厭惡，我感覺應該是出於,对这个项目一定程度的厌恶，我感觉应该是出于
406,Dr. Heinrich,Log Console 3,,her allergic reaction to these amphibians...,de son allergie aux batraciens...,an ihrer Allergie gegen diese Amphibien liegt ...,a su reacción alérgica a estos anfibios...,ela era alérgica a esses anfíbios...,ее аллергией на земноводных...,おそらくカエル嫌いのせいだろう。,그녀의 양서류에 대한 알레르기 때문이 아닐까.,对两栖类动物有过敏反应……,她對於兩棲類動物的過敏反應...,她对于两栖类动物的过敏反应...
407,Dr. Heinrich,Log Console 3,,I have been thus far unable to reproduce the experiment.,"Jusqu'à présent, je n'ai pas réussi à reproduire cette expérience.",Ich konnte dieses Experiment daher nicht wiederholen.,Hasta ahora he sido incapaz de reproducir el experimento.,E desde então não consegui mais reproduzir o experimento.,Все попытки повторить эксперимент провалились.,あれから実験は失敗つづきだが...,나는 여태껏 그 실험을 재현할 수 없었다.,后来我再也没有成功复现这项实验结果。,截至目前我尚未成功重現這項實驗結果。,截至目前我尚未成功重现这项实验结果。
408,Dr. Heinrich,Log Console 3,,But assuming I could... This just might work.,Mais si j'y parvenais... Ça pourrait fonctionner.,Doch wenn ich es könnte ... Es könnte klappen.,"Pero, suponiendo que pudiera... Podría funcionar.","Mas, supondo que eu consiga... Talvez isso funcione.","Но если бы у меня получилось... Да, это помогло бы.",もう一度だけ再現できれば... きっとうまくいくはずだ。,하지만 만약 성공한다면... 이게 먹힐지도 모른다.,但假如我能成的话……这或许是条路。,但假如我可以...這或許是條路。,但假如我可以...这或许是条路。
409,Barkley,Log Console 3,,Ruff! Ruff!,Ouaf ! Ouaf !,Kläff! Kläff!,¡Ruf! ¡Ruf!,Ralf! Ralf!,Тяф! Тяф!,バウ！バウ！,컹! 컹!,呜汪！呜汪！,嗚汪！嗚汪！,呜汪！呜汪！
410,Dr. Heinrich,Log Console 3,,Good boy!,Brave toutou !,Guter Junge!,¡Buen perro!,Bom menino!,Хороший мальчик!,いい子だ！,착하지!,好孩子！,好孩子！,好孩子！
411,Barkley,Log Console 3,,Ruff!,Ouaf !,Kläff!,¡Ruf!,Ralf!,Вуф!,バウ！,컹!,呜汪！,嗚汪！,呜汪！
412,Dr. Heinrich,Log Console 3,,Sigh...,Aaaah...,Seufz ...,Ay...,Puxa...,Ох...,ふう...,하아...,唉……,唉...,唉...
413,Dr. Heinrich,Log Console 3,,"I'll help you, Barkley...","Je vais t'aider, Barkley...","Ich werde dir helfen, Barkley ...","Te ayudaré, Rufo.","Eu te ajudarei, Ralf...","Я тебя спасу, Тяфка...",助けてやるぞ、バウディ...,"널 구해주마, 멍뭉아...",我会帮你的，巴科利……,我會幫你的，汪科利...,我会帮你的，汪科利...
414,Jimbo,Log Console 4,,Security Faculty Log No. 2309.,"Journal de sécurité, entrée n°2309.",Eintrag Nr. 2309 der Sicherheitsabteilung.,Registro de la Sección de Seguridad @2309.,"Registro do Departamento de Segurança, nº. 2309.",Запись в журнале охраны @2309.,セキュリティ部ログ2309号。,보안 요원 보고 기록 제2309번.,保安部日志第2309号。,警衛部日誌第2309號。,安保部日志第2309号。
415,Jimbo,Log Console 4,,This is Jimbo reporting a breach of protocol...,C'est Jimbo pour signaler une infraction au protocole...,Hier ist Jimbo. Ich möchte einen Protokollverstoß melden ...,Aquí Jimbo para informar de una infracción del protocolo...,"Aqui é o Jimbo, gostaria de denunciar uma quebra de protocolo...","Это Джимбо, у нас тут нарушение протокола.",ジンボによる服務規程違反報告...,여기는 짐보. 조약 위반을 보고한다...,我是金波，现报告一次违规行为……,我是金波，記錄報告一次違規行為...,我是金波，记录报告一次违规行为...
416,Jimbo,Log Console 4,,That crybaby Doctor has been behaving like a little rat.,Ce pleurnichard de Docteur se comporte comme un petit rat.,Diese Heulsuse von einem Doktor benimmt sich wie eine kleine Ratte.,Ese doctor llorón ha estado portándose como una rata.,Aquele doutor choramingão tem se comportado como um maldito rato.,"Докторишка себя вел больно подозрительно, будто скрысил чего.",あの泣きべそ博士が、ネズミのように こそこそ動き回っている。,저 울보 박사가 작은 쥐마냥 행동하고 있다.,那个爱哭鬼博士变得像耗子一样。,那個軟弱無能的博士表現得像隻老鼠一樣。,那个软弱无能的博士表现得像只耗子一般。
417,Jimbo,Log Console 4,,So I took it upon myself to investigate privately.,J'ai donc pris l'initiative d'enquêter sur lui.,"Also habe ich es auf mich genommen, insgeheim zu ermitteln.",Decidí que debía investigarlo personalmente.,Então eu decidi investigá-lo secretamente.,Я решил провести небольшое расследование.,そこで個人的に調べてみたが...,그래서 개인적으로 조사를 조금 해봤다.,所以我自作主张进行了私下的调查。,所以我自作主張私下調查了一番。,所以我自作主张私下调查了一番。
418,Jimbo,Log Console 4,,"On several occasions, I found him in a crazed state.","À plusieurs reprises, je l'ai trouvé dans un état agité.","Bei mehreren Gelegenheiten fand ich ihn in einem wirren Zustand vor,",En varias ocasiones lo encontré en un estado de locura.,"Em diversas ocasiões, eu o encontrei em um estado alterado.","Он будто крышей тронулся, постоянно бормочет что-то.",何度か異常な行動を目撃した。,"여러 상황에서, 나는 그가 정신나간 상태라는 것을 확인했다.",我有好几次发现他处在一种疯狂的状态。,在多個情況下，我都發現他處於一種癲狂狀態。,在多个情况下，我都发现他处于一种癫狂状态。
419,Jimbo,Log Console 4,,Lost in experiments seemingly unrelated to his post.,Perdu dans des expériences qui n'avaient rien à voir avec ses attributions.,"versunken in Experimente, die scheinbar nichts mit seinem Posten zu tun hatten.",Absorto en experimentos sin relación aparente con su puesto.,Perdido em meio a experimentos que parecem não ter relação com o trabalho dele.,Постоянно какие-то непонятные внеплановые эксперименты.,博士は職務と無関係の実験に のめり込んでいる。,그는 직책과는 무관해 보이는 실험에 실패한 것으로 보인다.,好像是沉迷在了和他工作完全无关的实验当中。,沉迷於與他職責毫無關係的實驗當中。,沉迷于与他职责毫无干系的实验当中。
420,Jimbo,Log Console 4,,"The Robotic Defense program has far exceeded budget,",Le programme de défense robotisée a explosé son budget,Das Budget des Roboter-Verteidigungsprogramms ist weit überzogen,El programa de defensa robótica se ha salido del presupuesto,O programa de Defesa Robótica já estourou o orçamento planejado,Программа уже все бюджеты превысила,ロボット防衛プログラムは 予算を大きく超過し、,"로봇형 방어 프로그램은 예산을 훨씬 초과했고,",机械防卫项目的支出已经远远超过预算，,機械防衛專案截至目前已經遠超預算了，,机械防卫项目截至目前已经远超预算了，
421,Jimbo,Log Console 4,,and is vastly behind schedule.,et a accumulé un retard considérable.,und das Programm liegt weit hinter dem Zeitplan zurück.,y lleva un retraso enorme.,e está extremamente atrasado.,и все дедлайны провалила.,スケジュールの遅延もひどい。,예정보다 훨씬 뒤쳐진 상태다.,进度也大大落后于预期。,進度也大大落後於預期。,进程也大大落后于预期。
422,Jimbo,Log Console 4,,I received a tip from a certain lab assistant...,J'ai reçu une info d'une personne qui travaille à ses côtés...,Ich habe einen Hinweis von einer bestimmten Laborassistentin erhalten ...,He recibido un soplo de cierta ayudante del laboratorio...,Eu recebi uma denúncia de uma certa assistente de laboratório...,"Одна птичка из его ближайшего окружения начирикала,",ラボの助手からタレこみがあった...,연구실의 어느 조교로부터 제보를 받았는데...,我从实验室某个助手那获得情报……,我收到了來自實驗室裡某位助理的小道消息...,我收到了来自实验室里某位助理的小道消息...
423,Jimbo,Log Console 4,,It seems he has siphoned funds from his research,Il semblerait qu'il ait détourné des fonds pour acheter du matériel,"Es scheint, als hätte er Mittel aus seiner Forschung abgezweigt,",Parece que ha estado desviando fondos de sus investigaciones,Parece que ele desviou recursos da pesquisa e gastou em,что он все средства и фонды сливает на,どうやら博士は研究費を、 あの番犬の延命や...,박사가 연구 자금을 빼돌린 것으로 보인다.,他似乎是把自己的研究资金挪用到了……,似乎他從自己的研究資金中挪用了鉅款,似乎他从自己的研究资金中挪用了巨款
424,Jimbo,Log Console 4,,into life-support and medical supplies for that guard dog.,et des médicaments dans le but de prolonger la vie de son chien de garde.,um sie für lebenserhaltende Maßnahmen und Medizin für diesen Wachhund zu nutzen.,para adquirir material médico y de soporte vital para su perro guardián.,equipamentos de suporte vital e remédios para aquele cão de guarda.,лекарства и жизнеобеспечение своей шавки.,薬品代に注ぎ込んでいるようだ。,그의 경비견을 위한 생명유지장치와 의료용품을 구입하는 데 말이다.,看门狗的生命维持和医疗物资上了。,用在了那個看門狗的生命維持和醫護設備上。,用在了那个看门狗的生命维持和医护设备上。
425,Jimbo,Log Console 4,,The one we intended for Bio-Experimentation.,Celui que nous voulions utiliser pour la bio-expérimentation.,"Das Tier, das eigentlich für Bio-Versuche vorgesehen war.",El que iba a servir para bioexperimentación.,O cachorro que seria usado em bioexperimentos.,"Той самой, над которой биологи поэкспериментировали.",われわれが生体実験を考えていた犬だ。,우리가 동물실험을 했던 그 개다.,就是我们打算用来做生物实验的那只狗。,那狗只是我們用來做生物實驗的。,那狗只是我们用来做生物实验的。
426,Jimbo,Log Console 4,,"I'm on my way to the lab to take the dog off life-support,","Je vais au laboratoire pour débrancher les appareils qui le maintiennent en vie,","Ich bin auf dem Weg ins Labor, um den Hund von der Lebenserhaltung zu trennen",Voy de camino al laboratorio para desconectar al perro del soporte vital,"Estou a caminho do laboratório para tirar o cachorro dos equipamentos,",Сейчас пойду отключать псину от всех аппаратов.,今からラボへ向かい、犬の生命維持装置を切って、,"지금 그 개를 생명유지장치에서 떼어내고,",我现在正打算去实验室那撤掉那条狗的生命维持设备，,我現在正去往實驗室，計畫撤掉那狗的生命維持設備，,我现在正去往实验室，计划撤掉那狗的生命维持设备，
427,Jimbo,Log Console 4,,and place the Doctor into custody...,et pour mettre le Docteur aux arrêts...,und den Doktor in Gewahrsam zu nehmen ...,y poner al doctor bajo arresto...,e levar o doutor sob custódia...,И арестовывать доктора.,博士を拘束する...,박사를 구류하기 위해 이동 중이다.,并将博士给缉拿归案……,並且將博士緝拿歸案...,并且将博士缉拿归案...
428,Jimbo,Log Console 5,,Security Faculty Log No. 2312.,"Journal de sécurité, entrée n°2312.",Eintrag Nr. 2312 der Sicherheitsabteilung.,Registro de la Sección de Seguridad @2312.,"Registro do Departamento de Segurança, nº. 2312.",Запись в журнале охраны @2312.,セキュリティ部ログ2312号。,보안 요원 보고 기록 제2312번.,保安部日志第2312号。,安保部日誌第2312號。,安保部日志第2312号。
429,Jimbo,Log Console 5,,This is Jimbo reporting.,"Jimbo, au rapport.",Hier ist Jimbo.,Aquí Jimbo.,Aqui é o Jimbo.,Говорит Джимбо.,ジンボによる報告。,여기는 짐보. 보고한다.,我是金波。,我是金波。,我是金波。
430,Jimbo,Log Console 5,,The Doctor has gone mad.,Le Docteur est devenu fou.,Der Doktor ist durchgedreht.,El doctor se ha vuelto loco.,O doutor enlouqueceu.,Доктор окончательно спятил.,博士がイカれちまった。,박사가 미쳤다.,博士疯了。,博士瘋了。,博士疯了。
431,Jimbo,Log Console 5,,The security systems have been modified,Les systèmes de sécurité ont été modifiés,Die Sicherheitssysteme wurden modifiziert,Los sistemas de seguridad han sido modificados,Os sistemas de segurança foram modificados,"Он перенастроил систему ""свой-чужой"" у охранных систем,",セキュリティシステムを改造し...,보안 시스템이 바뀌었다.,安保系统已经被他篡改了……,安保系統已被篡改，,安保系统已被篡改，
432,Jimbo,Log Console 5,,to target all personnel in the compound.,pour s'attaquer à tout le personnel du centre de recherche.,und haben das Personal auf dem Gelände ins Visier genommen.,para que ataquen a todo el personal del complejo.,para atacar qualquer pessoa na área.,на территории теперь смертельно опасно находиться.,施設の全スタッフを襲っている。,시설 내의 모든 사람들이 목표로 지정된 상태다.,设施里所有人都受到了公司。,正在攻擊所有機構內人員。,正在攻击所有机构内人员。
433,Jimbo,Log Console 5,,Most of my colleagues have either been killed or...,La plupart de mes collègues ont été tués ou...,Die meisten meiner Kollegen wurden entweder getötet oder ...,La mayoría de mis colegas han muerto o...,A maioria dos meus colegas foram mortos ou...,"Мои коллеги либо мертвы, либо...",同僚たちの多くは殺されるか...,내 동료들은 대부분이 죽거나...,我的同事要不是被杀死，就是……,我的同事們要麼被擊殺，要麼...,我的同事们要么被击杀，要么...
434,Jimbo,Log Console 5,,turned into one of those 'things'.,"transformés en l'une de ces ""créatures"".",haben sich in eines dieser 'Dinger' verwandelt.,se han convertido en una de esas «cosas».,"transformados naquelas ""criaturas"".",либо еще что похуже.,「あれ」に変えられた。,그러한 '것들'로 변하였다.,被变成那种“东西”。,"被他轉化為某個""怪物""了。","被他转化为某个""怪物""了。"
435,Jimbo,Log Console 5,,I am fleeing via one of the surface level escape pods.,Je vais m'enfuir à bord d'une capsule d'évacuation.,Ich fliehe mit einer Fluchtkapsel zur Oberfläche.,Voy a huir con una de las cápsulas de escape de la superficie.,Estou a caminho da superfície para escapar em uma das cápsulas de fuga.,Попробую выбраться через капсулу на поверхности.,オレは地上のポッドで脱出する。,나는 수면 탈출 포드를 사용해 도주하고 있다.,我正通过地表逃生舱逃跑。,我正通過地表逃生艙逃離建築。,我正通过地表逃生舱逃离建筑。
436,Jimbo,Log Console 5,,"And though I am unsure I'll survive the trip back,","Et même si je ne suis pas sûr de survivre à cette expédition,","Ich bin mir nicht sicher, ob ich die Rückreise überleben werde,","Aunque no sé si sobreviviré al viaje de vuelta,","E ainda que eu não sobreviva à viagem de volta,","Вот уж не знаю, получится ли.",生きて帰れるかは不明だが、,"비록 내가 이 여행에서 살아남을 수 있을지 확실하진 않지만,",我不敢确定自己能否活着回去，,雖然我不確定回去的路上我能不能活下來，,虽然我不确定回去的路上我能不能活下来，
437,Jimbo,Log Console 5,,my heart will always belong to the shores of Earth 2.,j'espère pouvoir revoir les doux rivages de la 2e Terre.,doch mein Herz wird immer den Küsten von Erde 2 gehören.,mi corazón siempre estará en las costas de Tierra 2.,a Terra 2 sempre será meu lar.,"Но я слишком люблю тебя, Земля-2, чтобы дрожать здесь всю жизнь.",オレの心は常にアース2の 海岸と共にある。,내 심장은 항상 2 지구의 해변에 남을 것이다.,但我的心永远属于地球2号的海洋。,但我的心永遠屬於地球2號的海灣。,但我的心永远属于地球2号的海湾。
438,Jimbo,Log Console 5,,Over and Out.,Terminé.,Ende und aus.,Cambio y corto.,"Câmbio, desligo.",Конец связи.,通信を終了する。,통신 끝.,通话完毕。,完畢。,完毕。
439,Gary,Log Console 6,,"Captain's log, entry 72.","Journal du capitaine, entrée 72.","Logbuch des Kapitäns, Eintrag 72.","Bitácora del capitán, entrada 72.","Registro do Capitão, nº. 72.","Бортовой журнал, запись 72.",船長日誌、第72号。,"게리의 기록, 엔트리 72.",船长日志，第72篇。,船長日誌，第72條。,船长日志，第72条。
440,Gary,Log Console 6,,It has been several hours since we crash landed,Cela fait déjà plusieurs heures que nous nous sommes écrasés,Mehrere Stunden sind vergangen seit unserer Bruchlandung,Han pasado varias horas desde que nos estrellamos,Faz várias horas que nossa nave caiu,С момента нашего аварийного приземления на поверхность,このいまいましい星へ墜落してから,우리가 이 비참한 연구 행성에 착륙한지도,从我们失事坠机算起，我们已经在……,從我們降落失事開始，已經好幾個小時了,自从我们着陆失事起，已经好几个小时了
441,Gary,Log Console 6,,on this wretched research planet.,sur cette maudite planète.,auf diesem elenden Forschungsplaneten.,en este miserable planeta de investigación.,neste inóspito planeta de pesquisa.,этой богом забытой планеты прошло уже несколько часов.,数時間がたった。,몇 시간이 지났다.,这荒凉的研究星球上待了好几个小时。,我們墜毀在這個荒涼的研究性行星上。,我们坠毁在这个荒凉的研究性行星上。
442,Gary,Log Console 6,,My dear Kiki stepped onto the console and disrupted,Ma petite Kiki a sauté sur la console et,Meine liebe Kiki ist auf die Konsole getreten und hat,Mi querida Kiki pisó la consola y estropeó,"Minha pequena Kiki pisou no painel, interrompendo","Падение вызвало то, что Кики, моя котейка,",愛するキキがコンソールを踏み,나의 고양이 나비가 콘솔에 올라타 착륙 시퀀스를,我心爱的琪琪踩到了电脑，打乱了……,我心愛的小貓琪琪踩到了電腦，並干擾了,我心爱的小猫琪琪踩到了电脑，并干扰了
443,Gary,Log Console 6,,"the landing sequence. I'd be upset, but...","a perturbé la séquence d'atterrissage. Je devrais être en colère, mais...","die Landesequenz unterbrochen. Ich wäre verärgert, aber ...","la secuencia de aterrizaje. Debería estar enfadado, pero...","a sequência de aterrissagem. Eu poderia ter ficado aborrecido, mas...","походила по консоли во время захода на посадку. Может, мне стоило ее наругать, но...",着陸シーケンスが妨害されたのだ。 叱りたくなったが...,방해했다. 화나긴 했지만...,着落的步骤。我应该生气的，但……,降落序列。我按理說應該生氣，但...,着陆序列。我按理说应该生气，但...
444,Gary,Log Console 6,,She's been my sole companion during this lonely mission.,Elle a été ma seule compagnie au cours de cette mission solitaire.,sie war auf dieser einsamen Mission meine einzige Gefährtin.,Ha sido mi única compañía durante esta misión tan solitaria.,Ela tem sido minha única companhia durante esta solitária missão.,Без нее мне было бы так одиноко на этом задании.,キキはこの孤独な任務中、 ずっとわたしを支えてきて...,그 아이는 이 외로운 임무 동안 나의 유일한 동반자였다.,她是我这次孤独任务中唯一的伙伴。,整個孤獨的任務中，她是我唯一的同伴。,整个孤独的任务中，她是我唯一的同伴。
445,Gary,Log Console 6,,She has proven to be quite the competent soldier.,Elle a prouvé sa valeur sur le terrain.,Sie hat sich als ziemlich fähige Soldatin erwiesen.,Ha demostrado ser bastante competente como soldado.,Ela provou ser uma soldada muito competente.,И она оказалась прекрасным солдатом!,今や立派な兵士となった。,꽤 유능한 군인임이 증명되었고 말이다.,她已经证明了自己是个合格的战士。,所有行為都顯示她是一個合格的小戰士。,所有行为都表明她是一个合格的小战士。
446,Gary,Log Console 6,,I feel a surge of pride...,Je ressens une certaine fierté,Ich fühle eine Woge des Stolzes ...,Siento un gran orgullo...,Tenho muito orgulho...,Я горжусь ей и горжусь тем...,誇らしさで胸がはりさけそうだ...,내가 2 지구의 정예 부대에서 복무했다는 것에,对于能在地球2号的精英军团里服役……,我深感榮耀與自豪...,我深感荣耀与自豪...
447,Gary,Log Console 6,,To have served the elite military ranks of Earth 2.,d'avoir servi dans les rangs de l'élite militaire de la 2e Terre.,Dass ich den Elite-Militärrängen von Erde 2 gedient habe.,Por haber servido a la élite militar de Tierra 2.,de ter feito parte das tropas militares de elite da Terra 2.,Что смог послужить Матери-Земле-2.,わが命の炎は弱まりつつあるが...,자존심이 솟구치는 것 같다...,我感到深深的骄傲。,因為曾服役於地球2號的精英軍團。,因为曾服役于地球2号的精英军团。
448,Gary,Log Console 6,,"It brings me some ease, as my life force becomes weaker.","J'y trouve un certain réconfort, alors que mes forces m'abandonnent.","Das macht es mir etwa leichter, jetzt, da meine Lebenskraft schwindet.","Me alivia un poco, ahora que mi fuerza vital se debilita.","Apesar de enfraquecer a cada minuto, sinto uma certa tranquilidade.","Я думаю об этом, чтобы не замечать, как меня медленно покидает жизнь.",アース2の精鋭軍として死ねるなら、 本望だ。,"내 생명력이 약해질수록, 이 자존심이 내게 약간의 여유를 가져다준다.",它在我生命渐消之时带给了我一丝平静。,隨著我生命不斷流失，我的內心反倒充滿了平和。,随着我生命不断流失，我的内心反倒充满了平和。
449,Gary,Log Console 6,,"That although I may pass away inside this infernal craft,","Et même si je vais probablement mourir dans ce maudit vaisseau,","Zu wissen, dass obwohl ich vielleicht in dieser Höllenmaschine sterbe,","Aunque fallezca en el interior de esta astronave infernal,","Ainda que eu perca a vida preso no interior destes destroços,","Я думаю о том, что, даже если я умру здесь,",それに、わたしがこの船内で死んでも、,"비록 내가 이 지옥 같은 우주선 안에서 죽더라도,",虽然我有可能会在这炼狱般的船里死去，,因此雖然我會在這煉獄一般的機艙中逝去，,因此虽然我会在这炼狱一般的机舱中逝去，
450,Gary,Log Console 6,,The mission may still be completed in my absence.,ma mission peut encore être réussie sans moi.,die Mission ohne mich abgeschlossen werden kann.,puede que la misión se complete en mi ausencia.,a missão poderá ser cumprida em minha ausência.,задание все равно будет выполнено.,任務はきっとやり遂げられる。,나 없이도 임무는 완수될 수 있을 것이다.,但即使我不在了，这项任务也还有完成的可能。,沒有我的存在，這任務仍有被完成的可能。,没有我的存在，这任务仍有被完成的可能。
451,Gary,Log Console 6,,"I couldn't be any prouder of you, Kiki...","Je suis si fier de toi, Kiki...","Ich könnte nicht stolzer auf dich sein, Kiki ...","No podría estar más orgulloso de ti, Kiki...","Eu não poderia estar mais orgulhoso de você, Kiki...","Я горжусь тобой, Кики...",おまえはわたしの誇りだ、キキ...,"네가 정말이지 자랑스럽구나, 나비야...",你是我永远的骄傲，琪琪……,你是我永遠的驕傲，琪琪...,你是我永远的骄傲，琪琪...
452,Gary,Log Console 6,,"Godspeed, sweet kitty.","Bonne chance, minette.","Viel Glück, liebes Kätzchen.","Suerte, mi dulce gatita.","Boa sorte, minha doce bichana.","С богом, кисонька.",幸運を、愛しのネコちゃん。,"행운을 빈다, 사랑하는 고양아.",祝你好运，我可爱的小猫咪。,祝你好運，我可愛的小貓咪。,祝你好运，我可爱的小猫咪。
453,Gary,Log Console 6,,Over and out.,Terminé.,Ende und aus.,Cambio y corto.,"Câmbio, desligo.",Конец связи.,通信を終了する。,통신 끝.,通话完毕。,完畢。,完毕。
454,Kiki,Log Console 6,,Meow??,Miaou ?,Miau??,¿¿Miau??,Miau???,Мяфф??,みゃおん？？,야옹??,喵？？,喵喵？？,喵喵？？
455,UI / HUD,Acquiring Item,,KIKI GOT A ROCKET MODULE.,KIKI A TROUVÉ UN LANCE-ROQUETTE.,KIKI HAT EIN RAKETENMODUL ERHALTEN.,KIKI TIENE UN MÓDULO DE COHETE.,KIKI GANHOU UM MÓDULO DE FOGUETE.,НАЙДЕН РАКЕТНЫЙ МОДУЛЬ.,キキは「ロケット」モジュールを 手に入れた。,나비가 로켓 모듈을 획득하였습니다.,琪琪获得了火箭弹模块。,琪琪獲得了火箭組塊。,琪琪获得了火箭组块。
456,Gary,Acquiring Item,,Kiki! You got a ROCKET!!,Kiki ! Tu as trouvé un LANCE-ROQUETTE !,Kiki! Du hast eine RAKETE gefunden!,¡Kiki! ¡Tienes un COHETE!,Kiki! Você ganhou um FOGUETE!!!,Кики! У тебя есть РАКЕТА!!,キキ！ロケットを手に入れたな！！,나비야! 로켓을 찾아냈구나!,琪琪！你找到了火箭弹！,琪琪！你搞到了個火箭！,琪琪！你搞到了个火箭！
